,show_type,title,ori_country,genre,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,Year,Month
5135,TV Show,Locked Up,Spain,Drama,True,8.3,100.0,OMN,https://flixpatrol.com/title/locked-up,ASI,2015,4
5136,Movie,Raat Akeli Hai,India,Crime,False,7.8,75.38461538461539,OMN,https://flixpatrol.com/title/raat-akeli-hai,ASI,2020,7
5138,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,OMN,https://flixpatrol.com/title/the-kissing-booth-2,ASI,2020,7
5139,TV Show,Cursed,USA,Fantasy,True,5.1,69.0,OMN,https://flixpatrol.com/title/cursed-2020,ASI,2020,7
5140,Movie,MILF,France,Comedy,False,6.1,14.0,OMN,https://flixpatrol.com/title/milf-2018,ASI,2018,5
5142,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,OMN,https://flixpatrol.com/title/the-old-guard,ASI,2020,7
5144,Movie,The Mask,USA,Comedy,False,6.9,77.0,OMN,https://flixpatrol.com/title/the-mask,ASI,1994,7
5145,TV Show,Warrior Nun,USA,Fantasy,True,6.9,51.81,OMN,https://flixpatrol.com/title/warrior-nun,ASI,2020,7
5147,TV Show,Dark,Germany,Mystery,True,8.7,94.0,OMN,https://flixpatrol.com/title/dark-2017,ASI,2017,12
5148,Movie,Lost Bullet,France,Crime,True,6.2,31.80110497237569,OMN,https://flixpatrol.com/title/lost-bullet,ASI,2020,6
5150,Movie,#Alive,South Korea,Horror,False,6.2,86.0,PAK,https://flixpatrol.com/title/alive-2020,ASI,2020,9
5151,TV Show,Resurrection: Ertugrul,Turkey,Drama,False,7.8,75.38461538461539,PAK,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI,2014,12
5152,Movie,Aquaman,USA,Superhero,False,7.7,65.0,PAK,https://flixpatrol.com/title/aquaman,ASI,2018,12
5154,Movie,Class of '83,India,Drama,False,7.7,20.0,PAK,https://flixpatrol.com/title/class-of-83,ASI,2020,8
5155,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,PAK,https://flixpatrol.com/title/lucifer,ASI,2016,1
5156,Movie,The Emoji Movie,USA,Animated,False,1.4,8.0,PAN,https://flixpatrol.com/title/the-emoji-movie,AME,2017,7
5158,Movie,Santana,South Africa,Action,False,3.9,1.125,PAN,https://flixpatrol.com/title/santana,AME,2020,8
5160,Movie,The Sleepover,USA,Comedy,True,5.5,80.0,PAN,https://flixpatrol.com/title/the-sleepover,AME,2020,8
5161,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,PAN,https://flixpatrol.com/title/lucifer,AME,2016,1
5162,Movie,Project Power,USA,Action,True,6.1,63.0,PAN,https://flixpatrol.com/title/project-power,AME,2020,8
5164,Movie,Work It,USA,Comedy,True,6.1,47.11797752808989,PAN,https://flixpatrol.com/title/work-it-2020,AME,2020,8
5165,TV Show,The Seven Deadly Sins,Japan,Animation,True,8.2,71.72121212121212,PAN,https://flixpatrol.com/title/the-seven-deadly-sins,AME,2014,10
5166,Movie,Wonder,USA,Drama,False,8.0,93.0,PAN,https://flixpatrol.com/title/wonder,AME,2017,11
