,Title,Type,Premiere,Genre,WM
327,Friends,TV Show,1994.0,Comedy,46.4
328,Teen Titans Go!,TV Show,2013.0,Animation,46.4
329,Rana Naidu,TV Show,2023.0,Action,46.3
330,From Scratch,TV Show,2022.0,Drama,46.2
331,Bake Squad,TV Show,2021.0,Reality-Show,46.1
332,Friends,TV Show,1994.0,Comedy,46.1
333,Shuroop,TV Show,2022.0,Comedy,46.1
334,Ganglands,TV Show,2021.0,Action,46.0
335,The Queen's Gambit,TV Show,2020.0,Drama,45.9
336,Virgin River,TV Show,2019.0,Drama,45.9
337,Gabby's Dollhouse,TV Show,2021.0,Animation,45.8
338,A Beautiful Life,Movie,2023.0,Drama,45.7
339,Peppa Pig,TV Show,2004.0,Animation,45.7
340,Copycat Killer,TV Show,2023.0,Crime,45.6
341,Avatar: The Last Airbender,TV Show,2005.0,Fantasy,45.5
342,Friends,TV Show,1994.0,Comedy,45.4
343,Peaky Blinders,TV Show,2013.0,Drama,45.4
344,The Flash,TV Show,2014.0,Superhero,45.4
345,Boys Over Flowers,TV Show,2009.0,Drama,45.3
346,The Office,TV Show,2005.0,Comedy,45.3
347,Transatlantic,TV Show,2023.0,Drama,45.3
348,Friends,TV Show,1994.0,Comedy,45.2
349,Masha and the Bear,TV Show,2009.0,Animation,45.1
350,Friends,TV Show,1994.0,Comedy,44.9
351,The Woman King,Movie,2022.0,History,44.9
352,Love Island,TV Show,2019.0,Reality-Show,44.8
353,Money Heist,TV Show,2017.0,Action,44.7
354,The Walking Dead,TV Show,2010.0,Horror,44.6
355,Grey's Anatomy,TV Show,2005.0,Drama,44.3
356,S.W.A.T.,TV Show,2017.0,Crime,44.2
357,Las munecas de la mafia,TV Show,2010.0,Drama,44.0
358,Lucifer,TV Show,2016.0,Superhero,44.0
359,Better Call Saul,TV Show,2015.0,Crime,43.9
360,Teen Wolf,TV Show,2011.0,Fantasy,43.9
361,Friends,TV Show,1994.0,Comedy,43.8
362,In Love All Over Again,TV Show,2023.0,Drama,43.8
363,Pieces of Her,TV Show,2022.0,Crime,43.8
364,F9,Movie,2021.0,Action,43.7
365,The 100,TV Show,2014.0,Science Fiction,43.6
366,The Blacklist,TV Show,2013.0,Crime,43.5
367,Vikings,TV Show,2013.0,History,43.4
368,Shameless,TV Show,2011.0,Comedy,43.3
369,The Office,TV Show,2005.0,Comedy,43.3
370,El Chema,TV Show,2016.0,Crime,43.2
371,Rosario Tijeras,TV Show,2016.0,Action,43.2
372,Santiago of the Seas,TV Show,2020.0,Animation,43.2
373,Seinfeld,TV Show,1989.0,Comedy,43.2
374,Inside Man,TV Show,2022.0,Crime,43.1
375,The Last Kingdom,TV Show,2015.0,History,42.9
376,Through My Window: Across the Sea,Movie,2023.0,Comedy,42.9
377,Cocomelon,TV Show,2020.0,Animation,42.8
378,Seinfeld,TV Show,1989.0,Comedy,42.8
379,Valeria,TV Show,2020.0,Drama,42.8
380,Pokémon,TV Show,1997.0,Animation,42.7
381,Purple Hearts,Movie,2022.0,Romance,42.7
382,The Last Kingdom,TV Show,2015.0,History,42.7
383,Waco: American Apocalypse,TV Show,2023.0,Documentary,42.7
384,Gabby's Dollhouse,TV Show,2021.0,Animation,42.6
385,Too Hot to Handle,TV Show,2020.0,Reality-Show,42.6
386,Guillermo del Toro's Pinocchio,Movie,2022.0,Animation,42.5
387,Unlocked,Movie,2023.0,Crime,42.5
388,The Crown,TV Show,2016.0,History,42.4
389,Arrow,TV Show,2012.0,Superhero,42.3
390,Blippi,TV Show,2017.0,Animation,42.1
391,The Good Doctor,TV Show,2017.0,Drama,42.1
392,Lucifer,TV Show,2016.0,Superhero,41.8
393,"Pamela, A Love Story",Movie,2023.0,Documentary,41.8
394,Chor Nikal Ke Bhaga,Movie,2023.0,Crime,41.7
395,Seinfeld,TV Show,1989.0,Comedy,41.7
396,The Garfield Show,TV Show,2009.0,Animation,41.5
397,Agency,TV Show,2023.0,Drama,41.4
398,White Chicks,Movie,2004.0,Comedy,41.4
399,Wellmania,TV Show,2023.0,Comedy,41.3
400,Seinfeld,TV Show,1989.0,Comedy,41.2
401,The Creature Cases,TV Show,2022.0,Animation,41.2
402,Maestro in Blue,TV Show,2022.0,Drama,41.1
403,Turbo,Movie,2013.0,Animation,41.1
404,McGregor Forever,TV Show,2023.0,Documentary,41.0
405,Black Money Love,TV Show,2014.0,Drama,40.9
406,Bloodshot,Movie,2020.0,Science Fiction,40.9
407,The Flash,TV Show,2014.0,Superhero,40.9
408,El Chapo,TV Show,2017.0,Drama,40.6
409,Shameless,TV Show,2011.0,Comedy,40.6
410,Demon Slayer: Kimetsu no Yaiba,TV Show,2019.0,Animation,40.5
411,Jane the Virgin,TV Show,2014.0,Comedy,40.4
412,The Snitch Cartel: Origins,TV Show,2021.0,Crime,40.4
413,Guillermo del Toro's Cabinet of Curiosities,TV Show,2022.0,Horror,40.3
414,Pokémon Journeys,TV Show,2019.0,Animation,40.3
415,Seinfeld,TV Show,1989.0,Comedy,40.3
416,Shrek Forever After,Movie,2010.0,Animation,40.3
417,The 100,TV Show,2014.0,Science Fiction,40.3
418,Unsolved Mysteries,TV Show,2020.0,Documentary,40.3
419,The Last Kingdom,TV Show,2015.0,History,40.2
420,Too Hot to Handle: Germany,TV Show,2023.0,Reality-Show,40.2
421,Better Call Saul,TV Show,2015.0,Crime,40.2
422,Avatar: The Last Airbender,TV Show,2005.0,Fantasy,40.1
